"","1642.MS00608","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00389","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00387","1642.MS00605","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00601","1642.MS00565","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00493","1642.MS00366","1642.MS00524","1642.MS00582","1642.MS00464","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00551","1642.MS00342","1642.MS00634","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00589","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00414","1642.MS00554"
"1642.MS00608",0,0.9384,0.9384,0.4994,0.6472,0.9376,0.9668,0.9412,0.9144,0.9434,0.7458,0.561,0.488,0.877,0.547,0.5256,0.5582,0.9454,0.679,0.5246,0.786,0.5654,0.5356,0.556,0.9486,0.578,0.6676,0.9466,0.526,0.6348,0.7476,0.676,0.9246,0.9604,0.941,0.6026,0.9604,0.9538,0.5724,0.5726
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0.9384,0,0.5908,0.9242,0.9418,0.6566,0.6086,0.63,0.9064,0.8952,0.9422,0.9106,0.9368,0.8642,0.9394,0.9442,0.9198,0.5546,0.951,0.926,0.9644,0.9376,0.9408,0.9266,0.5588,0.951,0.9616,0.726,0.9338,0.9426,0.9492,0.952,0.9046,0.6204,0.6902,0.9494,0.6612,0.568,0.9336,0.9464
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.9384,0.5908,0,0.9076,0.9238,0.5946,0.6252,0.5532,0.8112,0.8218,0.9268,0.8832,0.9236,0.8666,0.9206,0.9232,0.9092,0.4952,0.9288,0.9018,0.9512,0.9188,0.9232,0.9084,0.5796,0.9364,0.9506,0.615,0.9226,0.9216,0.9374,0.927,0.8372,0.6154,0.5668,0.9302,0.6494,0.5098,0.9124,0.9368
"1642.MS00609",0.4994,0.9242,0.9076,0,0.6304,0.9208,0.9598,0.9148,0.8756,0.9222,0.7454,0.5074,0.4954,0.8482,0.5566,0.5074,0.5464,0.9236,0.6944,0.469,0.8014,0.5006,0.4872,0.546,0.9356,0.5788,0.7022,0.9256,0.4694,0.567,0.7598,0.6228,0.8898,0.9466,0.9224,0.5974,0.9454,0.934,0.5526,0.5856
"1642.MS00389",0.6472,0.9418,0.9238,0.6304,0,0.9394,0.974,0.9356,0.9198,0.9366,0.6454,0.544,0.6526,0.8984,0.6052,0.6252,0.5398,0.9386,0.5016,0.5786,0.548,0.6088,0.6298,0.5914,0.951,0.6066,0.5872,0.9462,0.6332,0.621,0.6992,0.7308,0.9234,0.9618,0.9382,0.6858,0.9586,0.9472,0.5206,0.61
"2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences",0.9376,0.6566,0.5946,0.9208,0.9394,0,0.686,0.5194,0.8678,0.8558,0.948,0.9158,0.9326,0.8528,0.9368,0.9402,0.9234,0.603,0.9526,0.9256,0.9642,0.9348,0.9316,0.9294,0.6088,0.9462,0.9612,0.713,0.9304,0.9432,0.9448,0.9376,0.7806,0.7012,0.5204,0.9388,0.613,0.5998,0.9314,0.9398
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",0.9668,0.6086,0.6252,0.9598,0.974,0.686,0,0.6566,0.9176,0.8878,0.969,0.9522,0.9644,0.93,0.9694,0.9712,0.955,0.6346,0.9692,0.963,0.9818,0.9732,0.9698,0.96,0.5202,0.975,0.9772,0.6292,0.9698,0.9712,0.9732,0.9726,0.926,0.4818,0.6278,0.9696,0.6602,0.5566,0.9692,0.973
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.9412,0.63,0.5532,0.9148,0.9356,0.5194,0.6566,0,0.8468,0.8226,0.937,0.9018,0.9326,0.8704,0.9334,0.9384,0.9156,0.5666,0.941,0.9216,0.9568,0.9312,0.929,0.922,0.5862,0.9448,0.9588,0.6558,0.93,0.9386,0.949,0.9392,0.8378,0.661,0.5166,0.9386,0.6662,0.5348,0.9228,0.9432
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9144,0.9064,0.8112,0.8756,0.9198,0.8678,0.9176,0.8468,0,0.79,0.9352,0.8686,0.902,0.751,0.917,0.8972,0.9078,0.8826,0.9338,0.8832,0.9576,0.8912,0.9062,0.893,0.8766,0.9296,0.9428,0.8242,0.9076,0.9084,0.9372,0.8962,0.7342,0.9056,0.829,0.9338,0.8764,0.873,0.9082,0.9274
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.9434,0.8952,0.8218,0.9222,0.9366,0.8558,0.8878,0.8226,0.79,0,0.9376,0.9102,0.9326,0.863,0.9412,0.9354,0.9388,0.883,0.942,0.92,0.9588,0.9368,0.9308,0.9222,0.8522,0.9456,0.9608,0.8518,0.9336,0.9412,0.9502,0.9402,0.8558,0.88,0.8162,0.95,0.841,0.875,0.9362,0.9504
"1642.MS00371",0.7458,0.9422,0.9268,0.7454,0.6454,0.948,0.969,0.937,0.9352,0.9376,0,0.6716,0.7482,0.9192,0.741,0.7512,0.7084,0.9476,0.6248,0.7064,0.612,0.7524,0.7696,0.6968,0.9534,0.72,0.7606,0.9534,0.7656,0.7408,0.5918,0.8284,0.9444,0.9666,0.946,0.7984,0.9524,0.955,0.642,0.7382
"1642.MS00387",0.561,0.9106,0.8832,0.5074,0.544,0.9158,0.9522,0.9018,0.8686,0.9102,0.6716,0,0.5604,0.8414,0.559,0.5432,0.5668,0.9094,0.6116,0.482,0.7176,0.5218,0.555,0.5278,0.9234,0.5712,0.699,0.9184,0.5282,0.5834,0.6858,0.6422,0.8938,0.9374,0.9112,0.6502,0.9372,0.9212,0.4854,0.6074
"1642.MS00605",0.488,0.9368,0.9236,0.4954,0.6526,0.9326,0.9644,0.9326,0.902,0.9326,0.7482,0.5604,0,0.8806,0.5548,0.492,0.561,0.938,0.6978,0.5108,0.7984,0.5524,0.5344,0.57,0.9458,0.5826,0.6896,0.9372,0.5216,0.6164,0.7452,0.6506,0.917,0.9568,0.9368,0.5794,0.954,0.9434,0.5766,0.5584
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.877,0.8642,0.8666,0.8482,0.8984,0.8528,0.93,0.8704,0.751,0.863,0.9192,0.8414,0.8806,0,0.899,0.8806,0.8878,0.8994,0.9276,0.8588,0.9482,0.8718,0.8858,0.8606,0.8904,0.9134,0.924,0.8754,0.8628,0.8792,0.919,0.8604,0.7258,0.9168,0.8582,0.9274,0.9158,0.8974,0.8862,0.9104
"1642.MS00485",0.547,0.9394,0.9206,0.5566,0.6052,0.9368,0.9694,0.9334,0.917,0.9412,0.741,0.559,0.5548,0.899,0,0.5682,0.5096,0.9394,0.6312,0.517,0.7532,0.5706,0.5372,0.5604,0.9488,0.5482,0.6494,0.9446,0.5658,0.6062,0.75,0.734,0.925,0.9602,0.9334,0.5168,0.9598,0.9452,0.538,0.4902
"1642.MS00601",0.5256,0.9442,0.9232,0.5074,0.6252,0.9402,0.9712,0.9384,0.8972,0.9354,0.7512,0.5432,0.492,0.8806,0.5682,0,0.5576,0.9432,0.696,0.5156,0.797,0.5544,0.5386,0.577,0.9502,0.5986,0.6776,0.9414,0.5272,0.6036,0.755,0.6808,0.9126,0.959,0.9402,0.587,0.9592,0.9524,0.5534,0.5614
"1642.MS00565",0.5582,0.9198,0.9092,0.5464,0.5398,0.9234,0.955,0.9156,0.9078,0.9388,0.7084,0.5668,0.561,0.8878,0.5096,0.5576,0,0.925,0.588,0.521,0.686,0.5916,0.5466,0.5324,0.929,0.6164,0.5638,0.9326,0.585,0.576,0.746,0.7326,0.9206,0.9468,0.9246,0.5722,0.9378,0.9328,0.5816,0.5204
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",0.9454,0.5546,0.4952,0.9236,0.9386,0.603,0.6346,0.5666,0.8826,0.883,0.9476,0.9094,0.938,0.8994,0.9394,0.9432,0.925,0,0.9448,0.9268,0.9634,0.9334,0.9388,0.931,0.598,0.9458,0.965,0.6548,0.9362,0.941,0.9516,0.9424,0.8864,0.643,0.6028,0.9402,0.6832,0.5064,0.9292,0.944
"1642.MS00390",0.679,0.951,0.9288,0.6944,0.5016,0.9526,0.9692,0.941,0.9338,0.942,0.6248,0.6116,0.6978,0.9276,0.6312,0.696,0.588,0.9448,0,0.6458,0.5716,0.674,0.6704,0.6556,0.9502,0.599,0.664,0.9478,0.7028,0.6888,0.6864,0.8072,0.94,0.9598,0.9462,0.6986,0.9626,0.9512,0.5648,0.6392
"1642.MS00493",0.5246,0.926,0.9018,0.469,0.5786,0.9256,0.963,0.9216,0.8832,0.92,0.7064,0.482,0.5108,0.8588,0.517,0.5156,0.521,0.9268,0.6458,0,0.7624,0.4902,0.5058,0.489,0.937,0.545,0.6596,0.9302,0.4828,0.5438,0.7168,0.6316,0.896,0.95,0.9206,0.5984,0.9496,0.9284,0.5044,0.5448
"1642.MS00366",0.786,0.9644,0.9512,0.8014,0.548,0.9642,0.9818,0.9568,0.9576,0.9588,0.612,0.7176,0.7984,0.9482,0.7532,0.797,0.686,0.9634,0.5716,0.7624,0,0.786,0.7894,0.7454,0.9672,0.7174,0.6232,0.9708,0.8112,0.7638,0.6426,0.86,0.9576,0.9772,0.963,0.7988,0.9684,0.967,0.6712,0.7426
"1642.MS00524",0.5654,0.9376,0.9188,0.5006,0.6088,0.9348,0.9732,0.9312,0.8912,0.9368,0.7524,0.5218,0.5524,0.8718,0.5706,0.5544,0.5916,0.9334,0.674,0.4902,0.786,0,0.4986,0.5724,0.9492,0.5572,0.7234,0.9386,0.4962,0.519,0.7616,0.5672,0.9032,0.9602,0.9334,0.604,0.9608,0.9448,0.538,0.597
"1642.MS00582",0.5356,0.9408,0.9232,0.4872,0.6298,0.9316,0.9698,0.929,0.9062,0.9308,0.7696,0.555,0.5344,0.8858,0.5372,0.5386,0.5466,0.9388,0.6704,0.5058,0.7894,0.4986,0,0.573,0.948,0.5424,0.6764,0.9388,0.4868,0.5734,0.771,0.6664,0.9144,0.96,0.929,0.5412,0.9568,0.9452,0.556,0.5502
"1642.MS00464",0.556,0.9266,0.9084,0.546,0.5914,0.9294,0.96,0.922,0.893,0.9222,0.6968,0.5278,0.57,0.8606,0.5604,0.577,0.5324,0.931,0.6556,0.489,0.7454,0.5724,0.573,0,0.9374,0.6244,0.608,0.9314,0.5408,0.5732,0.7354,0.6946,0.9162,0.948,0.9186,0.6526,0.9486,0.937,0.5726,0.5808
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.9486,0.5588,0.5796,0.9356,0.951,0.6088,0.5202,0.5862,0.8766,0.8522,0.9534,0.9234,0.9458,0.8904,0.9488,0.9502,0.929,0.598,0.9502,0.937,0.9672,0.9492,0.948,0.9374,0,0.954,0.9672,0.5554,0.9436,0.9536,0.955,0.9558,0.8692,0.4946,0.6018,0.9512,0.5656,0.5028,0.9416,0.9536
"1642.MS00448",0.578,0.951,0.9364,0.5788,0.6066,0.9462,0.975,0.9448,0.9296,0.9456,0.72,0.5712,0.5826,0.9134,0.5482,0.5986,0.6164,0.9458,0.599,0.545,0.7174,0.5572,0.5424,0.6244,0.954,0,0.7052,0.9532,0.5748,0.6646,0.7304,0.7308,0.9242,0.962,0.9414,0.5974,0.966,0.9506,0.5302,0.5832
"1642.MS00570",0.6676,0.9616,0.9506,0.7022,0.5872,0.9612,0.9772,0.9588,0.9428,0.9608,0.7606,0.699,0.6896,0.924,0.6494,0.6776,0.5638,0.965,0.664,0.6596,0.6232,0.7234,0.6764,0.608,0.9672,0.7052,0,0.9646,0.69,0.7116,0.7986,0.8282,0.9476,0.9714,0.9586,0.702,0.9714,0.9676,0.6924,0.646
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",0.9466,0.726,0.615,0.9256,0.9462,0.713,0.6292,0.6558,0.8242,0.8518,0.9534,0.9184,0.9372,0.8754,0.9446,0.9414,0.9326,0.6548,0.9478,0.9302,0.9708,0.9386,0.9388,0.9314,0.5554,0.9532,0.9646,0,0.9378,0.9446,0.956,0.9438,0.8416,0.526,0.6736,0.9472,0.7592,0.6156,0.936,0.9528
"1642.MS00617",0.526,0.9338,0.9226,0.4694,0.6332,0.9304,0.9698,0.93,0.9076,0.9336,0.7656,0.5282,0.5216,0.8628,0.5658,0.5272,0.585,0.9362,0.7028,0.4828,0.8112,0.4962,0.4868,0.5408,0.9436,0.5748,0.69,0.9378,0,0.5818,0.7716,0.6222,0.9038,0.9522,0.931,0.603,0.9572,0.9414,0.5676,0.599
"1642.MS00551",0.6348,0.9426,0.9216,0.567,0.621,0.9432,0.9712,0.9386,0.9084,0.9412,0.7408,0.5834,0.6164,0.8792,0.6062,0.6036,0.576,0.941,0.6888,0.5438,0.7638,0.519,0.5734,0.5732,0.9536,0.6646,0.7116,0.9446,0.5818,0,0.7626,0.563,0.9086,0.9592,0.9422,0.6442,0.9624,0.95,0.6052,0.5694
"1642.MS00342",0.7476,0.9492,0.9374,0.7598,0.6992,0.9448,0.9732,0.949,0.9372,0.9502,0.5918,0.6858,0.7452,0.919,0.75,0.755,0.746,0.9516,0.6864,0.7168,0.6426,0.7616,0.771,0.7354,0.955,0.7304,0.7986,0.956,0.7716,0.7626,0,0.8168,0.9396,0.966,0.9508,0.8112,0.9596,0.9592,0.6638,0.748
"1642.MS00634",0.676,0.952,0.927,0.6228,0.7308,0.9376,0.9726,0.9392,0.8962,0.9402,0.8284,0.6422,0.6506,0.8604,0.734,0.6808,0.7326,0.9424,0.8072,0.6316,0.86,0.5672,0.6664,0.6946,0.9558,0.7308,0.8282,0.9438,0.6222,0.563,0.8168,0,0.8934,0.9636,0.942,0.7442,0.9678,0.9542,0.6932,0.73
"2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9246,0.9046,0.8372,0.8898,0.9234,0.7806,0.926,0.8378,0.7342,0.8558,0.9444,0.8938,0.917,0.7258,0.925,0.9126,0.9206,0.8864,0.94,0.896,0.9576,0.9032,0.9144,0.9162,0.8692,0.9242,0.9476,0.8416,0.9038,0.9086,0.9396,0.8934,0,0.8942,0.8354,0.9354,0.9068,0.8596,0.9134,0.93
"2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences",0.9604,0.6204,0.6154,0.9466,0.9618,0.7012,0.4818,0.661,0.9056,0.88,0.9666,0.9374,0.9568,0.9168,0.9602,0.959,0.9468,0.643,0.9598,0.95,0.9772,0.9602,0.96,0.948,0.4946,0.962,0.9714,0.526,0.9522,0.9592,0.966,0.9636,0.8942,0,0.6718,0.9608,0.746,0.5176,0.9556,0.9608
"2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences",0.941,0.6902,0.5668,0.9224,0.9382,0.5204,0.6278,0.5166,0.829,0.8162,0.946,0.9112,0.9368,0.8582,0.9334,0.9402,0.9246,0.6028,0.9462,0.9206,0.963,0.9334,0.929,0.9186,0.6018,0.9414,0.9586,0.6736,0.931,0.9422,0.9508,0.942,0.8354,0.6718,0,0.9406,0.5912,0.569,0.9266,0.9468
"1642.MS00589",0.6026,0.9494,0.9302,0.5974,0.6858,0.9388,0.9696,0.9386,0.9338,0.95,0.7984,0.6502,0.5794,0.9274,0.5168,0.587,0.5722,0.9402,0.6986,0.5984,0.7988,0.604,0.5412,0.6526,0.9512,0.5974,0.702,0.9472,0.603,0.6442,0.8112,0.7442,0.9354,0.9608,0.9406,0,0.9576,0.9486,0.6308,0.5222
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.9604,0.6612,0.6494,0.9454,0.9586,0.613,0.6602,0.6662,0.8764,0.841,0.9524,0.9372,0.954,0.9158,0.9598,0.9592,0.9378,0.6832,0.9626,0.9496,0.9684,0.9608,0.9568,0.9486,0.5656,0.966,0.9714,0.7592,0.9572,0.9624,0.9596,0.9678,0.9068,0.746,0.5912,0.9576,0,0.6646,0.9506,0.9598
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.9538,0.568,0.5098,0.934,0.9472,0.5998,0.5566,0.5348,0.873,0.875,0.955,0.9212,0.9434,0.8974,0.9452,0.9524,0.9328,0.5064,0.9512,0.9284,0.967,0.9448,0.9452,0.937,0.5028,0.9506,0.9676,0.6156,0.9414,0.95,0.9592,0.9542,0.8596,0.5176,0.569,0.9486,0.6646,0,0.9394,0.9512
"1642.MS00414",0.5724,0.9336,0.9124,0.5526,0.5206,0.9314,0.9692,0.9228,0.9082,0.9362,0.642,0.4854,0.5766,0.8862,0.538,0.5534,0.5816,0.9292,0.5648,0.5044,0.6712,0.538,0.556,0.5726,0.9416,0.5302,0.6924,0.936,0.5676,0.6052,0.6638,0.6932,0.9134,0.9556,0.9266,0.6308,0.9506,0.9394,0,0.576
"1642.MS00554",0.5726,0.9464,0.9368,0.5856,0.61,0.9398,0.973,0.9432,0.9274,0.9504,0.7382,0.6074,0.5584,0.9104,0.4902,0.5614,0.5204,0.944,0.6392,0.5448,0.7426,0.597,0.5502,0.5808,0.9536,0.5832,0.646,0.9528,0.599,0.5694,0.748,0.73,0.93,0.9608,0.9468,0.5222,0.9598,0.9512,0.576,0
